"","nombre","code","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif"
"45","SANTA TERESA DE SUBA","9238","12a13","disminuyo","-14273.7","13a14","aumento","22989.856","14a15","aumento","45746.644","15a16","aumento","18566.802","16a17","disminuyo","-168.49000000002","17a18","aumento","3708.98800000001","18a19","aumento","18074.7","19a20","aumento","41805.2"
"46","VILLA DEL CERRO","1356","12a13","aumento","61","13a14","aumento","11773.7066666667","14a15","aumento","6764.96000000001","15a16","aumento","3382.81","16a17","disminuyo","-21315.81","17a18","aumento","67000","18a19","disminuyo","-20151.3333333333","19a20","aumento","6151.33333333333"
"47","CERROS DE ORIENTE","1428","12a13","aumento","48479.96","13a14","aumento","81860.04","14a15","aumento","130720","15a16","aumento","79000","16a17","aumento","27608.1324","17a18","aumento","41613.6476","18a19","aumento","124130.04","19a20","aumento","119980.84"
"48","LA GRANJA NORTE","8524","12a13","aumento","122771.5","13a14","aumento","102723.06","14a15","aumento","99141.4399999999","15a16","aumento","247855.17","16a17","aumento","157508.83","17a18","aumento","1e+05","18a19","aumento","1e+05","19a20","aumento","70000"
"49","MOLINOS DE ORIENTE","1104","12a13","disminuyo","-0.0999999999985448","13a14","aumento","8200.1","14a15","se mantuvo","0","15a16","se mantuvo","0","16a17","aumento","133859.9725","17a18","aumento","13073.6775","18a19","aumento","25561.6","19a20","aumento","3854.60000000001"
"50","TIHUAQUE","1340","12a13","disminuyo","-1620.68965517241","13a14","aumento","9724.13793103449","14a15","se mantuvo","0","15a16","se mantuvo","0","16a17","aumento","53904.7413793103","17a18","aumento","78118.3103448276","18a19","aumento","10864.0172413793","19a20","aumento","21281.3793103448"
"51","LA ESTRELLITA I","8540","12a13","aumento","4567.17647058824","13a14","aumento","18853.515","14a15","aumento","7910.13205882352","15a16","aumento","15820.3173529412","16a17","aumento","403554.741470588","17a18","aumento","50000","18a19","aumento","50000","19a20","aumento","20000"
"52","QUIBA","2530","12a13","aumento","10234.85","13a14","aumento","16547.98","14a15","aumento","24482.945","15a16","aumento","29431.1625","16a17","aumento","47568.2625","17a18","aumento","33964.3","18a19","aumento","164477.625","19a20","aumento","26547.875"
"53","MONTEBLANCO","2536","12a13","aumento","172","13a14","aumento","30940.79","14a15","aumento","5286.95999999999","15a16","disminuyo","-7169.6675","16a17","aumento","6104.1675","17a18","aumento","41220.125","18a19","aumento","70609.25","19a20","disminuyo","-97713.625"
"54","MONTEBELLO","1302","12a13","aumento","32444.4444444444","13a14","aumento","319777.777777778","14a15","aumento","60777.7777777778","15a16","aumento","72877.7777777779","16a17","disminuyo","-227987.471111111","17a18","aumento","39094.6933333332","18a19","aumento","95386.2777777779","19a20","aumento","108181.333333333"
"55","SAN PEDRO","1306","12a13","aumento","20000","13a14","aumento","1e+05","14a15","aumento","120000","15a16","aumento","60000","16a17","aumento","53333.3333333334","17a18","aumento","30000","18a19","aumento","131111.111111111","19a20","aumento","72222.2222222221"
"56","ESPINO","2423","12a13","aumento","2369.5652173913","13a14","aumento","5521.73913043478","14a15","aumento","1717.39130434783","15a16","aumento","11086.9565217391","16a17","aumento","25513.5793478261","17a18","aumento","486.420652173925","18a19","aumento","6135.17391304347","19a20","disminuyo","-532.998043478263"
"57","POTOSI","2431","12a13","aumento","45969.0833333333","13a14","aumento","35042.4886111111","14a15","aumento","17133.2058333333","15a16","aumento","86338.5572222222","16a17","aumento","78454.4383333334","17a18","aumento","63323.2822222222","18a19","disminuyo","-8148.83333333337","19a20","aumento","78091.4722222222"
"58","BOLIVIA ORIENTAL","5640","12a13","disminuyo","-404.5","13a14","aumento","64893.33","14a15","aumento","28395.67","15a16","aumento","14197.75","16a17","aumento","43126.615","17a18","aumento","18137.635","18a19","disminuyo","-311582.5","19a20","aumento","76245.15"
"59","PARQUE NACIONAL","8102","12a13","disminuyo","-2972.5","13a14","aumento","29765.015","14a15","aumento","25583.485","15a16","aumento","211124","16a17","aumento","66500","17a18","aumento","245398","18a19","disminuyo","-143215.5","19a20","aumento","37028"
"60","SAN JOSE SUR ORIENTAL","1314","12a13","aumento","46903.2857142857","13a14","aumento","46961.07","14a15","aumento","64811.5014285714","15a16","aumento","46293.9014285714","16a17","disminuyo","-25891.8907142857","17a18","disminuyo","-184878.725","18a19","aumento","2241.71428571429","19a20","disminuyo","-11012.2857142857"
"61","MORALBA","1316","12a13","aumento","23064.6","13a14","aumento","87123.564","14a15","aumento","26773.136","15a16","aumento","26997.303","16a17","disminuyo","-8022.73249999998","17a18","aumento","33289.3795","18a19","disminuyo","-4412.04999999999","19a20","aumento","28886.8"
"62","BOSQUE DE PINOS","8520","12a13","aumento","111908.795918367","13a14","aumento","37999.1241836735","14a15","aumento","34792.528877551","15a16","aumento","47227.8670408163","16a17","aumento","239418.749693878","17a18","aumento","90704.0873469388","18a19","aumento","11724.2755102041","19a20","aumento","51700.2013180272"
"63","ARRAYANES VI","2637","12a13","se mantuvo","0","13a14","aumento","5400","14a15","se mantuvo","0","15a16","disminuyo","-37700","16a17","aumento","22200","17a18","disminuyo","-11900","18a19","aumento","10835","19a20","disminuyo","-255"
"64","SAN ANTONIO ENGATIVA","5679","12a13","aumento","47461","13a14","aumento","187563.491333333","14a15","aumento","315107.708666667","15a16","aumento","74610.25","16a17","aumento","107462.8","17a18","aumento","23661.4166666665","18a19","aumento","119969.4","19a20","aumento","197944.933333333"
"65","GRANADA SUR","1301","12a13","aumento","110192.307692308","13a14","aumento","234114.989038462","14a15","aumento","105704.126346154","15a16","aumento","75667.8159615385","16a17","aumento","14876.9832692308","17a18","aumento","43298.0084615385","18a19","aumento","108077.942307692","19a20","aumento","161970.442307692"
"66","SIERRA MORENA","2438","12a13","aumento","55092.2222222222","13a14","disminuyo","-3931.71333333332","14a15","aumento","72870.38","15a16","aumento","36342.5877777777","16a17","aumento","62904.3011111111","17a18","aumento","121301.111111111","18a19","aumento","34177.2777777779","19a20","aumento","136679.944444444"
"67","SAN ANTONIO DEL MIRADOR","2451","12a13","aumento","105.986111111111","13a14","aumento","1727.34722222222","14a15","aumento","375.583333333334","15a16","aumento","41.0833333333339","16a17","aumento","269.027777777777","17a18","aumento","1089.41666666667","18a19","disminuyo","-117","19a20","aumento","505.880833333333"
"68","EL MOCHUELO","2584","12a13","aumento","15601.8392857143","13a14","aumento","37648.1607142857","14a15","aumento","15178.5714285714","15a16","aumento","20753.1091071428","16a17","aumento","7354.03375","17a18","aumento","10535.7142857143","18a19","aumento","91297.5178571428","19a20","aumento","1013.91071428574"
"69","CAPELLANIA","6302","12a13","aumento","8843.33333333331","13a14","aumento","55559.74","14a15","aumento","656026.593333333","15a16","aumento","148445.44","16a17","aumento","36771.55","17a18","aumento","42560.3433333333","18a19","aumento","138049","19a20","aumento","121700.546666667"
"70","RAMIREZ","3210","12a13","aumento","21800","13a14","aumento","57100","14a15","aumento","40100","15a16","aumento","30000","16a17","aumento","60000","17a18","aumento","64000","18a19","aumento","106000","19a20","aumento","38000"
"71","CANADA O GUIRA","1330","12a13","aumento","90018.96","13a14","aumento","42202.898","14a15","aumento","77079.302","15a16","aumento","39861.1856","16a17","disminuyo","-1537.28720000002","17a18","aumento","26413.2216","18a19","aumento","21533.9","19a20","aumento","151536.034"
"72","LA PICOTA ORIENTAL","2510","12a13","disminuyo","-6444.44444444444","13a14","aumento","118018.585","14a15","aumento","57182.3038888889","15a16","aumento","19105.5455555556","16a17","disminuyo","-13351.8788888889","17a18","aumento","47270","18a19","aumento","39377","19a20","aumento","59842.8888888889"
"73","LA PICOTA","2511","12a13","aumento","18668.5416666667","13a14","aumento","63426.1204166667","14a15","aumento","38966.4629166666","15a16","aumento","23434.0091666667","16a17","aumento","22878.8241666667","17a18","aumento","70550.0833333333","18a19","aumento","42507.75","19a20","aumento","49965.7270833334"
"74","LAS AGUAS","3103","12a13","aumento","85426","13a14","aumento","115467.967692308","14a15","aumento","120708.570769231","15a16","aumento","62247.0215384616","16a17","aumento","55090.9815384615","17a18","aumento","63741.3815384615","18a19","aumento","106002.214285714","19a20","aumento","367079.428571429"
"75","PARQUE NACIONAL ORIENTAL","101405","12a13","aumento","4113.14285714284","13a14","aumento","12533.5485714286","14a15","aumento","18316.2371428571","15a16","aumento","56403.0657142857","16a17","aumento","101491.148571429","17a18","aumento","46802.4285714286","18a19","disminuyo","-50079.4","19a20","aumento","8825.39600000001"
"76","SAN ISIDRO RURAL","208108","12a13","se mantuvo","0","13a14","se mantuvo","0","14a15","se mantuvo","0","15a16","se mantuvo","0","16a17","se mantuvo","0","17a18","se mantuvo","0","18a19","se mantuvo","0","19a20","se mantuvo","0"
"77","SAN ISIDRO RURAL II","208126","12a13","se mantuvo","0","13a14","se mantuvo","0","14a15","se mantuvo","0","15a16","se mantuvo","0","16a17","se mantuvo","0","17a18","se mantuvo","0","18a19","se mantuvo","0","19a20","se mantuvo","0"
"78","TIBAQUE I","201306","12a13","se mantuvo","0","13a14","se mantuvo","0","14a15","se mantuvo","0","15a16","se mantuvo","0","16a17","se mantuvo","0","17a18","se mantuvo","0","18a19","se mantuvo","0","19a20","se mantuvo","0"
