"","barrio_nombre","codigo_manzana","anos","cambio_relativo","diferencia","porc","val1","val2"
"248","BOCHICA",4211023,"2012 a 2020 ","aumento",2e+06,500,5e+05,2500000
"249","TIBANA",4212016,"2012 a 2020 ","aumento",1750000,350,7e+05,2450000
"250","GALAN",4304039,"2012 a 2020 ","aumento",1800000,460,5e+05,2300000
"251","GALAN",4304056,"2012 a 2020 ","aumento",1800000,460,5e+05,2300000
"252","GALAN",4304099,"2012 a 2020 ","aumento",2080000,500,520000,2600000
"253","LA CAMELIA",4309014,"2012 a 2020 ","aumento",1900000,416.7,6e+05,2500000
"254","SAN EUSEBIO",4401006,"2012 a 2020 ","aumento",2e+06,500,5e+05,2500000
"255","AUTOPISTA MUZU",4403029,"2012 a 2020 ","aumento",1280000,277.8,720000,2e+06
"256","AUTOPISTA SUR",4404009,"2012 a 2020 ","aumento",1450000,293.3,750000,2200000
"257","AUTOPISTA SUR",4404011,"2012 a 2020 ","aumento",1250000,266.7,750000,2e+06
"258","AUTOPISTA SUR",4404031,"2012 a 2020 ","aumento",1250000,266.7,750000,2e+06
"259","OSPINA PEREZ SUR",4405057,"2012 a 2020 ","aumento",2070000,456.9,580000,2650000
"260","ALCALA",4407009,"2012 a 2020 ","aumento",1480000,292.2,770000,2250000
"261","REMANSO SUR",4412020,"2012 a 2020 ","aumento",1900000,416.7,6e+05,2500000
"262","HIPOTECHO",4501021,"2012 a 2020 ","aumento",1050000,223.5,850000,1900000
"263","EL MIRADOR DE LA ESTANCIA",2447007,"2012 a 2020 ","disminuyo",-44500,17.6,54000,9500
"264","ESPINO I",2449002,"2012 a 2020 ","aumento",3000,142.9,7000,10000
"265","PERDOMO ALTO",2450013,"2012 a 2020 ","aumento",1600000,420,5e+05,2100000
"266","QUIBA I",2456017,"2012 a 2020 ","aumento",510000,563.6,110000,620000
"267","ARBORIZADORA ALTA I",2460034,"2012 a 2020 ","aumento",860000,458.3,240000,1100000
"268","ARBORIZADORA ALTA I",2460047,"2012 a 2020 ","aumento",860000,458.3,240000,1100000
"269","ARBORIZADORA ALTA  II",2461075,"2012 a 2020 ","aumento",860000,458.3,240000,1100000
"270","SAN CARLOS",2501004,"2012 a 2020 ","aumento",8e+05,328.6,350000,1150000
"271","LA AURORA",2503049,"2012 a 2020 ","aumento",740000,338.7,310000,1050000
"272","NUEVO SAN ANDRES",2505022,"2012 a 2020 ","aumento",9e+05,325,4e+05,1300000
"273","NUEVO SAN ANDRES",2505023,"2012 a 2020 ","aumento",9e+05,325,4e+05,1300000
"274","GRAN YOMASA",2506091,"2012 a 2020 ","aumento",341000,324.3,152000,493000
"275","ABRAHAM LINCOLN",2507002,"2012 a 2020 ","aumento",11300,111.4,99500,110800
"276","ARBORIZADORA BAJA",2432056,"2012 a 2020 ","aumento",477000,360.7,183000,660000
"277","EL PENON DEL CORTIJO",2433030,"2012 a 2020 ","aumento",1720000,1055.6,180000,1900000
"278","JERUSALEN",2434044,"2012 a 2020 ","aumento",880000,833.3,120000,1e+06
"279","JERUSALEN",2434050,"2012 a 2020 ","aumento",880000,833.3,120000,1e+06
"280","BELLAVISTA",2436036,"2012 a 2020 ","aumento",880000,833.3,120000,1e+06
"281","LA PRADERA",2437016,"2012 a 2020 ","aumento",880000,833.3,120000,1e+06
"282","LA PRADERA",2437039,"2012 a 2020 ","aumento",880000,833.3,120000,1e+06
"283","SIERRA MORENA",2438005,"2012 a 2020 ","aumento",725000,293.3,375000,1100000
"284","SIERRA MORENA",2438050,"2012 a 2020 ","aumento",209000,329.7,91000,3e+05
"285","SIERRA MORENA",2439046,"2012 a 2020 ","aumento",8e+05,300,4e+05,1200000
"286","SIERRA MORENA",2439077,"2012 a 2020 ","aumento",650000,285.7,350000,1e+06
"287","LOS TRES REYES I",2441036,"2012 a 2020 ","disminuyo",-22128.17,85.2,150000,127871.83
"288","LOS TRES REYES I",2441098,"2012 a 2020 ","aumento",396000,833.3,54000,450000
"289","SANTA VIVIANA",2442009,"2012 a 2020 ","aumento",406000,381.9,144000,550000
"290","SANTA VIVIANA",2442050,"2012 a 2020 ","aumento",406000,381.9,144000,550000
"291","LA RESURRECCION",1413006,"2012 a 2020 ","aumento",875000,488.9,225000,1100000
